t,x,y,z
8.400000000000000355e+00,-2.271953887847780740e-01,-2.675913818216574480e+00,3.030692778139866261e-01
8.500000000000000000e+00,-5.112684512294821682e-01,-2.669285434373916299e+00,3.015191940350693267e-01
8.599999999999999645e+00,-8.062674866434491605e-01,-2.633625962702577539e+00,3.010457767287909037e-01
8.700000000000001066e+00,-1.109681535335651281e+00,-2.568038550173926016e+00,3.019653814596677810e-01
8.800000000000000711e+00,-1.418812125149977454e+00,-2.471937720052321374e+00,3.043695332147301480e-01
8.900000000000000355e+00,-1.730785812707590576e+00,-2.345064556224535135e+00,3.081946647131038608e-01
9.000000000000000000e+00,-2.042581130180320947e+00,-2.187477580645926345e+00,3.133755736488580967e-01
9.099999999999999645e+00,-2.351052298051345524e+00,-1.999465012359998850e+00,3.202124715073562666e-01
9.200000000000001066e+00,-2.652961785966635233e+00,-1.781645334758279686e+00,3.289899419253919377e-01
9.300000000000000711e+00,-2.945028082636802935e+00,-1.535033342998767480e+00,3.399120924603137306e-01
9.400000000000000355e+00,-3.223925881504862812e+00,-1.261040265261551330e+00,3.531029085031119341e-01
9.500000000000000000e+00,-3.486316610176543485e+00,-9.614712966586067555e-01,3.687094137572946018e-01
9.600000000000001421e+00,-3.728927574051574823e+00,-6.383987928541826617e-01,3.872733944775013648e-01
9.700000000000001066e+00,-3.948534161393735697e+00,-2.941835454528343163e-01,4.093596027495529088e-01
9.800000000000000711e+00,-4.142080859709147411e+00,6.838707068590044180e-02,4.356424939845890409e-01
9.900000000000000355e+00,-4.306688406766755683e+00,4.460947834531634459e-01,4.669218911298045338e-01
1.000000000000000000e+01,-4.439653790598330652e+00,8.352904234907829739e-01,5.041229846684491811e-01
1.010000000000000142e+01,-4.538520977057495465e+00,1.231995303522607887e+00,5.485610097574332711e-01
1.020000000000000107e+01,-4.601217008991845603e+00,1.632065939829143275e+00,6.019657301399392590e-01
1.030000000000000071e+01,-4.625846536464254477e+00,2.030682886723678582e+00,6.653430302717168177e-01
1.040000000000000036e+01,-4.611034478816966597e+00,2.422726865011002317e+00,7.406210900990171098e-01
1.050000000000000000e+01,-4.555953163053596988e+00,2.802815095377198418e+00,8.307712215445259840e-01
1.060000000000000142e+01,-4.460322323839126746e+00,3.165301298389653795e+00,9.398078685073663063e-01
1.070000000000000107e+01,-4.324409433842813399e+00,3.504276316698668126e+00,1.072785509161582329e+00
1.080000000000000071e+01,-4.149251193740343346e+00,3.813731504147595874e+00,1.233435355193966076e+00
1.090000000000000036e+01,-3.936296526060412582e+00,4.086136940905946702e+00,1.427068007131902183e+00
1.100000000000000000e+01,-3.687697744295936442e+00,4.313624569377686235e+00,1.659229470420270580e+00
1.110000000000000142e+01,-3.406674640923389230e+00,4.488882623491978308e+00,1.932612630083953231e+00
1.120000000000000107e+01,-3.097514487402824201e+00,4.605155628703174742e+00,2.247057250727810818e+00
1.130000000000000071e+01,-2.765572034177843364e+00,4.656244401990830006e+00,2.599549976536716933e+00
1.140000000000000036e+01,-2.416928993803533210e+00,4.636740737661915190e+00,2.988781803336858278e+00
1.150000000000000000e+01,-2.058223817467132122e+00,4.543055186261936385e+00,3.388248963450051665e+00
1.160000000000000142e+01,-1.696653350587836062e+00,4.375257410219037801e+00,3.748158581560277813e+00
1.170000000000000107e+01,-1.339036405301975874e+00,4.138023737342654051e+00,4.028702786384195988e+00
1.180000000000000071e+01,-9.917967452732843192e-01,3.840648317823205371e+00,4.200536981793206337e+00
1.190000000000000036e+01,-6.609630856929236131e-01,3.497043124232108724e+00,4.244779846813420576e+00
1.200000000000000000e+01,-3.520451847461850692e-01,3.125395006298275380e+00,4.151951048486910878e+00
1.210000000000000142e+01,-6.767890318633745794e-02,2.741319723081308002e+00,3.917812534776783817e+00
1.220000000000000107e+01,1.906479544710599772e-01,2.359242588217238978e+00,3.575220330552327574e+00
1.230000000000000071e+01,4.221131940195166354e-01,1.990894315496312128e+00,3.164137743015587034e+00
1.240000000000000036e+01,6.269984726508341932e-01,1.643921343030964932e+00,2.723184077100027523e+00
1.250000000000000000e+01,8.066892989551124327e-01,1.321885833255824982e+00,2.289634635470535695e+00
1.260000000000000142e+01,9.634996646958629007e-01,1.024325618435119933e+00,1.897873928948568434e+00
1.270000000000000107e+01,1.098473874463676170e+00,7.484439304714564090e-01,1.560912461872025592e+00
1.280000000000000071e+01,1.212373444099615005e+00,4.910632511557251334e-01,1.282347973499749161e+00
1.290000000000000036e+01,1.305948105887866584e+00,2.484988005147222845e-01,1.059766330284298119e+00
1.300000000000000000e+01,1.379669374942990467e+00,1.706713835790196754e-02,8.849078273787948090e-01
1.310000000000000142e+01,1.433560776328607123e+00,-2.052557597656662347e-01,7.514121454795239519e-01
1.320000000000000107e+01,1.467554179722875718e+00,-4.202075226281662967e-01,6.508363875213771799e-01
1.330000000000000071e+01,1.481492865123421820e+00,-6.290111191114388101e-01,5.740516421793007140e-01
1.340000000000000036e+01,1.475008702253528314e+00,-8.313732396034985150e-01,5.169795443713379735e-01
1.350000000000000000e+01,1.447855441986572789e+00,-1.027039055230148490e+00,4.738004822617731260e-01
1.360000000000000142e+01,1.399834557747964503e+00,-1.215274398393735966e+00,4.398815663559052513e-01
1.370000000000000107e+01,1.330771734572132381e+00,-1.394571206510680339e+00,4.139705157612215136e-01
1.380000000000000071e+01,1.240702571642769092e+00,-1.563614279240532756e+00,3.931963953124709144e-01
1.390000000000000036e+01,1.129796172271442023e+00,-1.720783647511715087e+00,3.761030344404573400e-01
1.400000000000000000e+01,9.983777729622482777e-01,-1.864231514337643780e+00,3.625178116724898647e-01
1.410000000000000142e+01,8.470077237131916625e-01,-1.992318359670352423e+00,3.511224305257138467e-01
1.420000000000000107e+01,6.764299633013753921e-01,-2.103293824176831528e+00,3.415417834080305415e-01
1.430000000000000071e+01,4.875853006673285805e-01,-2.195383559204107105e+00,3.340048657831192203e-01
1.440000000000000036e+01,2.816523265098228590e-01,-2.267043936367989065e+00,3.279419016792663455e-01
1.450000000000000000e+01,6.001860008257553503e-02,-2.316815487048019317e+00,3.230194726794427540e-01
1.460000000000000142e+01,-1.757371837623726285e-01,-2.343263828877873323e+00,3.196057418958757612e-01
1.470000000000000107e+01,-4.238224139509439992e-01,-2.345200453847039679e+00,3.176501258275210571e-01
1.480000000000000071e+01,-6.822361746724814324e-01,-2.321683525045033836e+00,3.167734478542347243e-01
1.490000000000000036e+01,-9.488067633345780294e-01,-2.271895774056493789e+00,3.171126562707408669e-01
1.500000000000000000e+01,-1.221192778827347114e+00,-2.195223441727955915e+00,3.188709589847618098e-01
1.510000000000000142e+01,-1.496901880224539960e+00,-2.091348211223221121e+00,3.220888290419685052e-01
1.520000000000000107e+01,-1.773295286037801288e+00,-1.960246878772609280e+00,3.266857851772451138e-01
1.530000000000000071e+01,-2.047630977612742154e+00,-1.802172748686799997e+00,3.326841170830935335e-01
1.540000000000000036e+01,-2.317059965285540368e+00,-1.617573637991281288e+00,3.403940393412681065e-01
1.550000000000000000e+01,-2.578685072794111299e+00,-1.407218801285969434e+00,3.500820614425493305e-01
1.560000000000000142e+01,-2.829589688172328366e+00,-1.172234859859655032e+00,3.619424290052813409e-01
1.570000000000000107e+01,-3.066837763750009938e+00,-9.141058016900189820e-01,3.760971237753709673e-01
1.580000000000000071e+01,-3.287498850677781359e+00,-6.346660422754922815e-01,3.926824110491649589e-01
1.590000000000000036e+01,-3.488741438221924618e+00,-3.359812067702903637e-01,4.122302089681920134e-01
1.600000000000000000e+01,-3.667783018514422011e+00,-2.036703732369271602e-02,4.352220619606668173e-01
1.610000000000000142e+01,-3.822020847625739126e+00,3.095033777345346238e-01,4.622430894138516155e-01
1.619999999999999929e+01,-3.949045148753064005e+00,6.505959883643666064e-01,4.940161112818717282e-01
1.630000000000000071e+01,-4.046639112220334233e+00,9.995157828155845081e-01,5.314016480857213232e-01
1.640000000000000213e+01,-4.112790123061416558e+00,1.352524669489832743e+00,5.754274570836841463e-01
1.650000000000000000e+01,-4.145890047781801258e+00,1.705832202900162020e+00,6.275919646060812429e-01
1.660000000000000142e+01,-4.144526338792587694e+00,2.055103225190417326e+00,6.888594267774972302e-01
1.669999999999999929e+01,-4.107696608230110513e+00,2.395710485946302981e+00,7.605149002590350094e-01
1.680000000000000071e+01,-4.034908627586640151e+00,2.722890838307790773e+00,8.444879058267340532e-01
1.690000000000000213e+01,-3.926180327710384610e+00,3.031745238969034251e+00,9.433524283715535308e-01
1.700000000000000000e+01,-3.782039798805495678e+00,3.317238748178406027e+00,1.060326916899377192e+00
1.710000000000000142e+01,-3.603617939892469924e+00,3.574398720664081708e+00,1.198211560860020120e+00
1.719999999999999929e+01,-3.392528761537821236e+00,3.797460659621156864e+00,1.358643702707160728e+00
1.730000000000000071e+01,-3.150822264049869759e+00,3.980156708197680082e+00,1.543302738757878823e+00
1.740000000000000213e+01,-2.881335397068074844e+00,4.117072809233461861e+00,1.751672489238364161e+00
1.750000000000000000e+01,-2.587698214622648152e+00,4.203668645968045681e+00,1.980991741805292472e+00
1.760000000000000142e+01,-2.274333875134514127e+00,4.236277642040715996e+00,2.226254251545853435e+00
1.769999999999999929e+01,-1.946302016519093403e+00,4.212002036242663117e+00,2.480883877062447951e+00
1.780000000000000071e+01,-1.608524245949234821e+00,4.129022333592651250e+00,2.731272081859124068e+00
1.790000000000000213e+01,-1.266804039852573727e+00,3.988934492723607672e+00,2.948788902934388556e+00
1.800000000000000000e+01,-9.266493987273352051e-01,3.795754330480098471e+00,3.109797212629211050e+00
1.810000000000000142e+01,-5.930618225607537930e-01,3.555722928869665900e+00,3.197751334033654302e+00
1.819999999999999929e+01,-2.705363108291578556e-01,3.277306635062879003e+00,3.203197040986841770e+00
1.830000000000000071e+01,3.694070825489623178e-02,2.971186245707678530e+00,3.123729345179247385e+00
1.840000000000000213e+01,3.263506137558402354e-01,2.647932121855652188e+00,2.960352044519664272e+00
